ID	String 1	label
3211	I m worried and lost and just don t know where to start or what to do	0
4414	Never do anything standing that you can do sitting or anything sitting that you can do lying down	0
3845	I wish i knew i need to know but i don t want to take any meds	0
2332	being a petrol deprived thug is a tankless yob	1
3701	mark the mail and then click on the spam button	0
154	some clockmakers are normal but others are a little cuckoo	1
3553	shouldn t there be a phone number on the back or a website Turn the card over	0
42	i was going to look for my missing watch but i could never find the time	1
1329	the people who are predicting when all time will halt are known as endochronologists	1
1992	hannibal crossed the alps because it was safer than crossing the elephants	1
1852	before king arthur appointed a knight to give acupuncture treatments at camelot sir lancelot knew he was stuck with the job	1
2980	At home one thing is said at school another she said	0
3725	when you ask a question there is a dark B click it and it will be bold	0
3784	A true friend is a person who really knows you and loves you anyway	0
4646	We ve arrived and to prove it we re here	0
567	the aluminum foiled my plans	1
4416	Never write a letter while you are angry	0
1114	the constables held the boat thief at bay	1
304	if a norwegian robot analyzes a bird it scandinavian	1
347	you feel stuck with your debt if you can t budge it	1
3831	I want to wish you the best luck ever If I was this female it would be a cold day in hell before I took you back	0
1955	ponytails are coiffe drops	1
4062	If nothing else go to a temporary agency Those can lead to permanent jobs and are easier to get into	0
2543	For the last three months that s been her job	0
2443	And we won t stop because he asked us to	0
500	after junior swallowed the watch he had to wait to pass the time	1
1708	when he kicked the invoice it didn t mean he wanted to foot the bill	1
4669	Vision without action is a daydream Action with without vision is a nightmare	0
2971	But would a sex life with a mate who lived across the street be complicated	0
582	old sailors never die they just get a little dinghy	1
202	an invisible man marries an invisible woman the kids were nothing to look at either	1
3901	have another friend tell him for you if he takes it well tell him you like him but more then a friend it ll all flow from there	0
2578	We don t need to defend the use of fur	0
866	the politician is not one for indian food but he s good at currying favors	1
4790	Cream doesn t rise to the top it works its way up	0
3108	Before we made it I kept saying I didn t know if this is the one	0
2635	In this country no man has a license to beat and get away with it	0
1066	two surgeons had a heart to heart	1
2947	I think they were trying to make an example of him	0
349	when traveling between russia and alaska you first must get your bering strait	1
1091	the optical scientist who stole his colleague s bifocals was sentenced to three years in a state prism	1
2315	shine your shoes when they re new to keep them squeaky clean	1
4382	Jade and men both are sharpened by bitter tools	0
2036	when the lumber baron was unable to log in his business ended in a forced shut down	1
2879	There s nothing of what they have promised he said	0
2258	the chef who tried to bribe a judge with polenta was held in corntempt	1
2551	Every time we had contact with him he turned on us	0
4127	Why does time of day matter for once a day medication	0
113	i just got my permit to harvest shrimp in the antarctic now i have a licence to krill	1
1826	he often played the violin with his wife but she never played second fiddle	1
842	those who sell topsoil have definitely hit pay dirt	1
1002	correspondence citing farm machinery defects would be a deere john letter	1
2545	Now I want to make a difference for my son	0
130	a noun and a verb were dating but they broke up because the noun was too possessive	1
2364	i hate cliff hangers do you know what i am going to do about it	1
1643	how long is a chinese man	1
282	last week i was diagnosed with insomnia and now i m just so tired of it	1
1109	the executioner decided to drop out of executioner school it was just too cut throat for him	1
2770	Everytime I come home I say to myself Why did I ever leave	0
1298	when he was sentenced to the guillotine he lost his head	1
1351	the drama instructor preferred to travel by stagecoach	1
4197	For the do it yourself cook just start digging a hole but do it outside the city	0
3572	If your speaking skills are as good as your grammar skills it won t matter	0
1829	he forgot to pay me for the computer i sold him bad cache memory	1
4761	Bed is the poor man s opera	0
3243	If someone had told my father he was coming to live in a country that would rule another nation he never would have come	0
4686	One kindness is the price of another	0
1368	that diet clinic is so successful it would take your breadth away	1
533	two podiatrists became arch rivals	1
4339	He hath lived ill that knows not how to die well	0
2498	We put in extra telephone lines to handle the calls	0
2771	In space research the panel told Bush the United States cannot take a leading position without his help	0
556	the fertiliser business is a growing industry	1
4067	look for an owners manual on the manufacture s website	0
3034	Not that she was completely away from performing on the stage	0
965	if chickens could choose any car at all to be given to them they would choose a free range rover	1
4372	In the presence of princes the cleverest jester is mute	0
49	funniness and cleverness have always been two notable factors for rating puns but the third has groan in significance	1
